Age_Young;Age_Older;Gender;Expenditures_Low;Expenditures_High;Ethnicity
0;1;Female;0;1;Asian
1;0;Male;1;0;White not Hispanic
0;1;Male;0;1;Asian
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;White not Hispanic
1;0;Female;1;0;Hispanic
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;Black
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;White not Hispanic
1;0;Female;0;1;White not Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;Hispanic
0;1;Male;0;1;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
1;0;Male;1;0;Asian
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;Black
0;1;Male;0;1;White not Hispanic
1;0;Female;0;1;Hispanic
0;1;Female;0;1;Hispanic
0;1;Male;0;1;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
0;1;Female;0;1;Asian
0;1;Male;0;1;Asian
1;0;Female;1;0;White not Hispanic
0;1;Male;0;1;Asian
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;White not Hispanic
1;0;Male;0;1;White not Hispanic
0;1;Female;0;1;Asian
1;0;Male;1;0;Hispanic
1;0;Female;1;0;Multi Race
0;1;Female;0;1;Hispanic
0;1;Male;0;1;Black
1;0;Female;1;0;Asian
1;0;Female;1;0;White not Hispanic
0;1;Male;0;1;Hispanic
1;0;Female;1;0;Black
1;0;Male;1;0;White not Hispanic
1;0;Female;1;0;White not Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
1;0;Female;1;0;White not Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;Asian
0;1;Female;0;1;Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Female;0;1;White not Hispanic
0;1;Female;0;1;Asian
0;1;Male;0;1;Asian
0;1;Female;1;0;Hispanic
1;0;Female;1;0;Hispanic
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;Asian
0;1;Male;0;1;Hispanic
0;1;Female;0;1;Black
1;0;Male;1;0;White not Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Female;0;1;White not Hispanic
1;0;Female;1;0;White not Hispanic
1;0;Female;1;0;Hispanic
0;1;Female;0;1;White not Hispanic
1;0;Female;1;0;Multi Race
1;0;Female;1;0;Hispanic
0;1;Male;0;1;Asian
1;0;Female;1;0;Hispanic
0;1;Female;0;1;Asian
0;1;Female;0;1;Hispanic
0;1;Female;0;1;White not Hispanic
1;0;Female;1;0;Asian
1;0;Male;1;0;Hispanic
1;0;Female;1;0;White not Hispanic
0;1;Male;0;1;White not Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Female;0;1;White not Hispanic
0;1;Female;0;1;Black
1;0;Female;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
1;0;Female;1;0;Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Female;0;1;Asian
1;0;Male;1;0;White not Hispanic
0;1;Female;0;1;Asian
0;1;Female;1;0;Hispanic
0;1;Male;0;1;Black
1;0;Female;1;0;Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;Asian
1;0;Female;0;1;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Female;0;1;White not Hispanic
0;1;Female;0;1;Black
1;0;Female;1;0;White not Hispanic
1;0;Male;1;0;White not Hispanic
1;0;Female;1;0;Multi Race
0;1;Female;0;1;White not Hispanic
0;1;Female;0;1;Hispanic
0;1;Male;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
1;0;Male;1;0;White not Hispanic
1;0;Male;1;0;Hispanic
1;0;Female;1;0;White not Hispanic
1;0;Male;1;0;Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
1;0;Male;1;0;Hispanic
1;0;Male;1;0;Hispanic
1;0;Female;1;0;White not Hispanic
0;1;Female;0;1;White not Hispanic
1;0;Female;1;0;White not Hispanic
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
1;0;Female;1;0;White not Hispanic
1;0;Male;1;0;Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;White not Hispanic
1;0;Male;1;0;Asian
1;0;Male;1;0;Asian
0;1;Female;0;1;White not Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
1;0;Male;1;0;Multi Race
1;0;Male;0;1;Asian
0;1;Female;0;1;Asian
1;0;Female;1;0;Asian
1;0;Female;0;1;White not Hispanic
1;0;Male;1;0;Hispanic
1;0;Female;1;0;Hispanic
1;0;Female;1;0;White not Hispanic
1;0;Male;1;0;Asian
0;1;Male;0;1;White not Hispanic
1;0;Male;1;0;Hispanic
1;0;Female;1;0;Black
1;0;Male;1;0;Hispanic
0;1;Female;0;1;White not Hispanic
1;0;Female;1;0;Multi Race
0;1;Female;0;1;White not Hispanic
1;0;Male;1;0;Hispanic
0;1;Female;0;1;Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Female;0;1;Asian
0;1;Female;0;1;Hispanic
0;1;Female;0;1;Hispanic
1;0;Male;0;1;Asian
1;0;Female;1;0;Hispanic
1;0;Female;1;0;Hispanic
0;1;Male;0;1;Asian
0;1;Male;0;1;Asian
1;0;Female;1;0;Hispanic
0;1;Male;0;1;Hispanic
1;0;Male;1;0;White not Hispanic
1;0;Female;1;0;Hispanic
1;0;Male;1;0;White not Hispanic
0;1;Female;0;1;White not Hispanic
1;0;Male;1;0;Asian
0;1;Female;0;1;White not Hispanic
1;0;Female;1;0;White not Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
1;0;Female;1;0;Black
0;1;Male;0;1;White not Hispanic
0;1;Female;0;1;White not Hispanic
1;0;Female;1;0;Multi Race
1;0;Female;1;0;Multi Race
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
0;1;Male;0;1;Hispanic
1;0;Female;0;1;White not Hispanic
0;1;Male;0;1;White not Hispanic
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;Asian
1;0;Female;1;0;White not Hispanic
1;0;Female;1;0;White not Hispanic
1;0;Female;1;0;Hispanic
1;0;Male;1;0;Hispanic
1;0;Male;1;0;Hispanic
0;1;Female;0;1;White not Hispanic
1;0;Male;1;0;Hispanic
0;1;Male;0;1;Asian
1;0;Male;1;0;Multi Race
0;1;Female;0;1;White not Hispanic
0;1;Male;0;1;Hispanic
1;0;Female;1;0;Multi Race
1;0;Male;1;0;Hispanic
0;1;Male;0;1;White not Hispanic
